acc_no,author,title,publisher_info,year,isbn,storage_loc,subject,class_no
B8520,Amos (S W),"Radio, TV & Audio Technical Reference Book",,1977.0,40800259,TLC-R-1-S-1,REFERENCE,(03) 621.396 AMO
B2422,Hawker (J P),Radio and Television Engineers' Reference Book,"George Newnes Limited, London",1960.0,,TLC-R-1-S-1,REFERENCE,(03) 621.396.:62.397.1 HAW
B22799,Deren Yang,Handbook of Photovoltaic Silicon,Springer,2019.0,9783662564714,TLC-R-1-S-1,REFERENCE,(03) 621.396.:62.397.1 HAW
AUTO-00001,Jordan (C),"Reference Data for Engineers: Radio, Electronics, Computer, and Communication 7th ed.","Howard W. Sams & Co., Inc, USA",1975.0,0672215632,TLC-R-1-S-1,REFERENCE,(03) 621.396 JOR
B18775,Visser (G J),Nederlands Engels Woordenboek,,1970.0,,TLC-R-1-S-1,REFERENCE,(030) VIS
B15657,ss,Electrical Engineer's Reference Book 14th ed.,"Butterworths, London",1985.0,0408004320,TLC-R-1-S-1,REFERENCE,(03)621.3 LAU
B17406,O'Brien (D),The Penguin India Reference Yearbook 2007,"Penguin Books, India",2006.0,9780143100874,TLC-R-1-S-1,REFERENCE,(03) BRI
B20944,Microsoft Windows,Multimedia Programmer's Reference,Microsoft Corporation,1991.0,,TLC-R-1-S-1,REFERENCE,(03) 681.3.06.811.93.MIC
B18998,Muthuswamy & Brinda,Swamy' s Complete Manual on Establishment and Administration for Central Government Offices,"Nathan & Company, Chennai",2000.0,,TLC-R-1-S-1,REFERENCE,(03) MUT
B4076,Amerongen (V),Indian Industres Reference Book and Directory,"Plastic & Bakelite Products, India",,,TLC-R-1-S-1,REFERENCE,(03)67(540) AME
B20954,Microsoft Windows,Programmer's Reference Microsoft Windows for PEN Computing:,Microsoft Corporation,1992.0,,TLC-R-1-S-1,REFERENCE,(03)681.3.06:811.90 MIC
B20949,Microsoft Windows,Programmer's Reference Voume 2: Functions,Microsoft Corporation,1992.0,,TLC-R-1-S-1,REFERENCE,(03)681.3.06:811.90 MIC
B20947,Microsoft Windows,"Programmer's Reference Voume 3: Messages, Structures, and Macros",Microsoft Corporation,1992.0,,TLC-R-1-S-1,REFERENCE,(03)681.3.06:811.90 MIC
B20948,Microsoft Windows,Programmer's Reference Voume 1: Overview,Microsoft Corporation,1992.0,,TLC-R-1-S-1,REFERENCE,(03)681.3.06:811.90 MIC
B20946,Microsoft Windows,Programmer's Reference Voume 4: Resources,Microsoft Corporation,1992.0,,TLC-R-1-S-1,REFERENCE,(03)681.3.06:811.90 MIC
B632,Westinghuse Electric Corporation,Industrial Electronics Reference Book,"John Wiely & Sons, London",1948.0,,TLC-R-1-S-1,REFERENCE,(03)681.3.06:811.90 MIC
REFERENCE,Withers (M J ),The Technical Services Scheme Handbook 1989,ERA Technology / England,1989.0,,TLC-R-1-S-1,REFERENCE ONLY,
B9597,Electronics Test Staff,ATE Reference Handbook,"Morgan Grampian Pub, Boston",1983.0,,TLC-R-1-S-1,REFERENCE,(035)621.396.001.4 N89
B14447,Crompton ( T R ),Battery Reference Book,"Betterworths, London",1990.0,0408007907,TLC-R-2-S-2,ENCYCLOPEDIA,(03)621.352 N 90
B11097,Parker (S P),Mc Graw-Hill Encyclopedia of electronics and Computers ( VOLUME 1 ),"MC Graw-Hill, New York",1982.0,0070454876,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 621.38.681.N 82
B18174,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technology ( Volume 2 ),"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 621.38.681.N 82
B18175,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technology (Volume 3),"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 00 1V.2
B18176,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy ( Volume 4),"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031)001V.3
B18177,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy (Volume 5),"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031)001V.4
B18178,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy (Volume 6),"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031)001V.5
B18179,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy (volume 7),"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031)001V.5
B18180,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.7
B18181,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.8
B18182,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.9
B18183,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.10
B18184,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.11
B18185,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V .12
B18186,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V .13
B18187,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V .14
B18188,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.15
B18189,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V .16
B18190,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V. 17
B18191,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V .18
B18192,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.19
B18193,Parker (S P),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0079092063,TLC-R-2-S-2,ENCYCLOPEDIA,(031) 001 V.20
B7278,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 .038) v-3
B7279,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 . 038) V-4
B7280,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 . 038) V-5
B7281,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 . 038) V-6
B7282,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 .038) V-7
B7283,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 . 038) V-8
B7284,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 .038) V-9
B7285,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 .038) V-10
B7286,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031 .038) V-11
B7287,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031. 038) V12
B7288,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031. 038) V13
B7289,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031. 038) V14
B7290,Barker (W J ) Harrison (G R ) Bronk (D),Mc Graw-Hill Encyclopedia of Scinence & Technolgy,"MC Graw-Hill, New York",1960.0,0070795908,TLC-R-3-S-3,ENCYCLOPEDIA,(031. 038) V15
B10843,Bittel (L R ) Bittel (M A ),Encyclopedia Professional Management (Volume 1),"MC Graw-Hill,USA",1978.0,0717281639,TLC-R-1-S-3,ENCYCLOPEDIA,(031) BIT
B10844,Bittel (L R ) Bittel (M A ),Encyclopedia Professional Management (Volume 2),"MC Graw-Hill,USA",1978.0,0717281639,TLC-R-1-S-3,ENCYCLOPEDIA,(031) BIT
B17823,Upshall (M),COLLINS Paper Back Encyclopedia,Helicon Publishing,1995.0,0004708563,TLC-R-1-S-3,ENCYCLOPEDIA,
B20458,Fletcher ©,Encyclopedia of Training and Performance Management,Jaico Publishing House /London,2005.0,81799201212,TLC-R-1-S-3,ENCYCLOPEDIA,(031 ) FLE
B11909,Tulleken ( V K ),Library of Nations,Amsterdam /Canada,1987.0,705408590,TLC-R-1-S-3,ENCYCLOPEDIA,-31
B11891,Tulleken ( V K ),Library of Nations,Amsterdam/China,1984.0,70540840,TLC-R-1-S-3,ENCYCLOPEDIA,
AUTO-00002,Unknown Author,Life Science Library TIME 2ed ed,Time-Life books Inc USA,1980.0,,TLC-R-1-S-3,ENCYCLOPEDIA,(031) GOU
B19108,WADSWORTH (J W),Encyclopaedia of Practical Management (V-1),Velocity Business Publishing/ New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,(031 .038):65 WAD
B19109,OLSON ( J ),Encyclopaedia of Practical Management (v-2),Velocity Business Publishing/ New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,( 031. 038) : 65 WAD
B19110,WADSWORTH (J W),Encyclopaedia of Practical Management (V-3),Velocity Business Publishing /New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,( 031.038): 65 WAD
B19111,STRAUB ( T J),Encyclopaedia of Practical Management (V- 4 ),Velocity Business Publishing /New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,(031.038) :65 WAD
B19112,CALDWELL (H),Encyclopaedia of Practical Management (V- 5),Velocity Business Publishing /New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,(031 .038) :65 WAD
B19113,STRAUB ( T J),Encyclopaedia of Practical Management (V- 6),Velocity Business Publishing /New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,(031 .038) :65 WAD
B19114,STRAUB (T J ),Encyclopaedia of Practical Management (V- 7),Velocity Business Publishing /New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,(031 .038) :65 WAD
B19115,FOLINO (F D ),Encyclopaedia of Practical Management (V- 8),Velocity Business Publishing /New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,(031.038) :65 WAD
B19116,SAUNDERS (M R ),Encyclopaedia of Practical Management (V- 9),Velocity Business Publishing /New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,(031.038) :65 WAD
B19117,CULLEN ( J ) INNOCENZO (D L ),Encyclopaedia of Practical Management (V-10),Velocity Business Publishing /New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,(031.038) :65 WAD
B19118,STRAUB ( T J ),Encyclopaedia of practical Managament ( V-11),Velocity Busines Publishing / New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,(031.038) :65 WAD
B19119,OlSON (J ),Encyclopaedia of practical Managament ( V-12),Velocity Busines Publishing / New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,(031.038) :65 WAD
B19120,CHAMBERS (D),Encyclopaedia of practical Managament ( V-13),Velocity Busines Publishing / New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,(031.038) : 65 WAD
B19121,OLSON ( J ),Encyclopaedia of practical Managament ( V-14),Velocity Busines Publishing / New Delhi,2000.0,817439026,TLC-R-1-S-4,ENCYCLOPEDIA,(031 .038) :65 WAD
B18748,Sheldon ( T ),Encyclopaedia of Networking Electronic Edition,Tata Mc Graw-Hill Publishing Compay Limited /New Delhi,1998.0,007463389,TLC-R-1-S-4,ENCYCLOPEDIA,(031) 681.324
B7220,Considine ( M D ),Encyclopaedia of Instrumentation & Control,McGraw- Hill/ New york,1971.0,070124248,TLC-R-1-S-4,ENCYCLOPEDIA,(031) 621.039.564 CON
B13727,Meyers ( A R ),Encyclopaedia of Eleconmmumic ations,Academic Press /California,1989.0,122266919,TLC-R-1-S-4,ENCYCLOPEDIA,(031)621.391 MEY
B3406,H W Sams & co,Reference Data for Radio Engineers . 5thEd,"Howard W. Sams & Co., Inc.",1943.0,,TLC-R-1-S-4,ENCYCLOPEDIA,(031)621.396 N43
B3208,Standinigford (o),Newnes Encyclopaedia of business Mansgement,"George Newnes Limited, London",1967.0,,TLC-R-1-S-4,ENCYCLOPEDIA,(031)658 N67
B20210,Kahan & kahan,The Encyclopaedic Dictionary of marketing,"Response Books,New Delhi",2006.0,761935010,TLC-R-1-S-4,ENCYCLOPEDIA,(031)658.8(038) KHA
B10960,Birnes (W J) Hayfield(N),McGraw-Hill Personal Computer Programming Encyclopaedia Languages and operating systems,McGraw-Hill book company,1985.0,70053898,TLC-R-1-S-4,ENCYCLOPEDIA,(031)658.3.01.N85 BIR
B16566,Thomas (R M),Encyclopaedia Autocad release11,BPB Publications New Delhi,1992.0,,TLC-R-1-S-4,ENCYCLOPEDIA,(031)658.3.06 THO
B20253,Grigonis ( R ),Computer Telephony Encyclopaedia,"CMP Books,New York",2000.0,1578200458,TLC-R-1-S-4,ENCYCLOPEDIA,(031)621.394 GRI
B12760,Goudsmit (A S),Time,Time-Life Books /Hong Kong,1980.0,,TLC-R-1-S-4,ENCYCLOPEDIA,(031)GOU
B13680,Barknouw(E) Gerbner (G),International Encyclopedia of Communications (V-1),Oxford University Press /New York,1989.0,019504994,TLC-R-1-S-5,ENCYCLOPEDIA,(031.038) 621 .391
B13681,Barknouw(E) Gerbner (G),International Encyclopedia of Communications (V-2),Oxford University Press /New York,1989.0,019504994,TLC-R-1-S-5,ENCYCLOPEDIA,(031.038) 621.391
B13682,Barknouw(E) Gerbner (G),International Encyclopedia of Communications (V-3),Oxford University Press /New York,1989.0,019504994,TLC-R-1-S-5,ENCYCLOPEDIA,(031.038) 621.391
B13683,Barknouw(E) Gerbner (G),International Encyclopedia of Communications (V-4),Oxford University Press /New York,1989.0,019504994,TLC-R-1-S-5,ENCYCLOPEDIA,(031.038) 621.391
B2076,Woodley ( R D),Encyclopedia of Materials Handling ( V-2),Pergamon Press /Oxford,1964.0,,TLC-R-1-S-5,ENCYCLOPEDIA,(031) 621.8 N64 WOO
B7226,McGrow- Hill,McGraw-Hill Year book of Scincence and technology,McGROW'Hill Book company / New york,1977.0,0070453446,TLC-R-1-S-5,ENCYCLOPEDIA,(031 .038) 06
B13442,Parker (S P),McGrow- Encyclopedia of Chemmistry,McGROW'Hill Book company / New york,1983.0,0070454841,TLC-R-1-S-5,ENCYCLOPEDIA,(031).6
B7222,Stevenson,Graphic arts encyclopedia,McGROW'Hill Book company / New york,1968.0,0070612870,TLC-R-1-S-5,ENCYCLOPEDIA,(031)76 STE
B1725,McGrow- Hill,McGrow- Encyclopedia of Science and technology,McGROW'Hill Book company / New york,1960.0,,TLC-R-1-S-5,ENCYCLOPEDIA,(031)SCI
B3297,Nostrand (D V),Van Nostrands Scintific Encyclopeadia,"D.Van Nostrand Company,INC Canada",1938.0,,TLC-R-1-S-5,ENCYCLOPEDIA,(031)6NOS
B17190,Unknown Author,How Things Work Universal Enclyclopedia of Machines (V-II),Indus HarperCollins India,1992.0,0586081739,TLC-R-1-S-5,ENCYCLOPEDIA,(031)622.23.05 IND
B8183,Tremaine(H M),Audio Cyclopedia,"Howard W.Sams & Co.,Inc.",1995.0,06722067507,TLC-R-1-S-5,ENCYCLOPEDIA,(031)534 TRE
B17610,Redmond (M),The Polite Approach A Handbook of Etiquette,Jaico Publishing House,1995.0,8172244517,TLC-R-1-S-6,GENERAL,001 RED
B9502,Aggarwal (H),Engineers Hand book,"Aggarwal Publishers Pvt,Ltd",1982.0,,TLC-R-1-S-6,HANDBOOK GENERAL,(035)62
B20373,Michalko (M),Thinkertoys,Berkeley,2006.0,1580087736,TLC-R-1-S-6,HANDBOOK GENERAL,(035) MIC
B16982,Smith(B),The microwave Engineering Handbook (Volume2),Chapman & Hall London,1993.0,412456702,TLC-R-1-S-6,HANDBOOK GENERAL,(035)SMI
B11792,Young(T Y),Handbook of pattern recognition and inage processing,"Acavemic press,INC New york",1986.0,0127745602,TLC-R-1-S-6,HANDBOOK GENERAL,(035)528.854YOU
B12983,Albers (V M),Underwater Acoustics Handbook-11,The pennsylvania Sate univarsity Press,1965.0,,TLC-R-1-S-6,HANDBOOK GENERAL,(035)534 ALB
B16237,Benson (K B),Audio Engineering Handbook,McGraw-Hill book company,1988.0,0070047774,TLC-R-1-S-6,HANDBOOK GENERAL,(035)543BEN
B14537,Skalak ( R),Handbook of Bioengineering,McGraw-Hill book company,1987.0,0070577838,TLC-R-1-S-6,HANDBOOK GENERAL,(035)57.089SKA
B9520,Amc pamphlet,Engineering design Handbook Development Guide for reliablity part 2 Desingn for reliablity 027 370,,1976.0,,TLC-R-1-S-6,HANDBOOK GENERAL,(035)620.169AMC
B5282,Aulock (W H V),Handbook of Microwave ferrite materials,Academic Press,1965.0,,TLC-R-1-S-6,HANDBOOK GENERAL,(035)54-732.537.622.6AUL
B13764,Harris (C M),Shock and Vibration Handbook 3rd edition,McGraw-Hill book company,1988.0,0070268010,TLC-R-1-S-6,HANDBOOK GENERAL,(035)534.1HAR
B4744,Sucher (M),Handbook of Microwave Measurements 3rd edition (v2),Polytechnic Press london,1963.0,,TLC-R-1-S-6,HANDBOOK GENERAL,(035)54-732.621.317
B5785,Huckert(J),ASME Handbook Engineering Tables,McGraw-Hill book company,1956.0,,TLC-R-1-S-6,HANDBOOK GENERAL,(035)62 HUC
B4743,Sucher (M),Microwave measurements 3rd edition (v1),Polytechnic Press london,1963.0,,TLC-R-1-S-6,HANDBOOK GENERAL,(035)54-732.621.317 SUC
B19809,Bronshtein(N),Handbook of Mathematics,Springer,2003.0,3540434917,TLC-R-1-S-6,HANDBOOK GENERAL,(035)51 BRO
B3171,Unknown Author,Britain An oggicial Handbook,"Prepared by the central office of information,London",1969.0,,TLC-R-1-S-6,HANDBOOK GENERAL,(035)COI
B16215,SasiKumar,Book of Hand Writing,"PantherPublishers,Bangalore,India",1992.0,8185457107,TLC-R-1-S-6,HANDBOOK GENERAL,(035)SAS
B20753,Golio Mike,RF and Microwave Simiconductor Device Handbook,CRC Press,2001.0,08493156X,TLC-R-1-S-6,HANDBOOK GENERAL,(035)54-732:621.382p;03
B22764,Suresh (BN),Space and beyond,Springer,2021.0,9789813365094,TLC-R-1-S-7,HANDBOOK GENERAL,(035)SUR
B19904,Harris(J W),Handbook of mathemetics and Computational Science,Springer,1998.0,0387947469,TLC-R-1-S-7,HANDBOOK GENERAL,(035)51 HAR
B22465,"Burns,M.D (DD)",The Feeling Good Handbook,A Plume Book,1990.0,978452281325,TLC-R-1-S-7,HANDBOOK GENERAL,(035) BUR
B10909,Barr(A),The Handbook of artificial inteligence (V1),Heuristech Press,1981.0,0865760047,TLC-R-1-S-7,HANDBOOK GENERAL,(035)007.52 BAR
B16264,Rodgers(F.G.B),The Ibm Way,Fontana,1986.0,0006374360,TLC-R-1-S-7,HANDBOOK GENERAL,(035)ROD
B13309,Audeen(G B),Robot Design handbook,McGraw-Hill book company,1988.0,00706777X,TLC-R-1-S-7,HANDBOOK GENERAL,(035)007.52 AND
B10910,Barr(A),The Handbook of artificial inteligence (V2),Pitman,1982.0,0273085530,TLC-R-1-S-7,HANDBOOK GENERAL,(035)007.52 BAR
B4925,Abramowitz(M),Handbook of mathematical functiona with formulas graphs,"Dover Publications,Inc.,New York",1964.0,,TLC-R-1-S-7,HANDBOOK GENERAL,(035)510 ABR
B1213,Eshbach(O W),Handbook of Engineering Fundamentals,"Wiley engineering handbook series,Newyork",1936.0,,TLC-R-1-S-7,HANDBOOK GENERAL,(035)62 ESH
B11026,Brady & Clauser,Materials Handbook Twelfth edition,McGraw-Hill book company,1986.0,0070070717,TLC-R-1-S-7,HANDBOOK GENERAL,(035)54-1 BRA
B14297,Burke (HE),Handbook of BAR Coding Systems,"Van nostrand reinhold company,newyork",1984.0,0442214308,TLC-R-1-S-7,HANDBOOK GENERAL,(035)003.295.8 BUR
B11959,Gupta(B.M),"Handbook of Libraries, Archives & information Centres in India","Information Industry Publications,Newdelhi",1987.0,8185112053,TLC-R-1-S-7,HANDBOOK GENERAL,(035)025.5 GUP
B3950,Machol (R E),System Engineering Handbook,McGraw-Hill book company,1965.0,,TLC-R-1-S-7,HANDBOOK GENERAL,(035)62 MAC
B4745,Sucher (M),Microwave measurements 3rd edition (v3),Polytechnic Press london,1963.0,,TLC-R-1-S-7,HANDBOOK GENERAL,(035)537-962:621.317 SUC
B13929,Nathan (B.M G),"Handbook of Libraries, Archives & information Centres in India (v7)",Aditya Prakashan,1985.0,818517945X,TLC-R-1-S-7,HANDBOOK GENERAL,(035)025.5 NAT
B18539,SubbaRam (N R),Handbook of indian Patent Law and Practice,"S.Viswanathan Pvt,Ltd",1998.0,,TLC-R-1-S-7,HANDBOOK GENERAL,(035)347.77 RAM
B20335,March (SL),Microwave Transmission Lines and Their Physical RealizTIONS,Noble publishong,1988.0,,TLC-R-1-S-7,HANDBOOK GENERAL,(035)54-73:621.372. MAR
B16712,"Wadsworth,jr(HM)",Handbook of Statistical Methods for Engineers and Scientists,McGraw-Hill publis hingcompany,1990.0,0070676747,TLC-R-1-S-7,HANDBOOK GENERAL,(035)001.8 WAD
B16983,Smith(B L),The microwave Engineering Handbook (Volume3),Chapman & Hall London,1993.0,041245680X,TLC-R-1-S-7,HANDBOOK GENERAL,(035)573.962:621.382 SMI
B17523,Hickman (IAN),Newnes Practical RF Handbook,BH Newnes,1993.0,0750608714,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 HIC
B6491,Baty (JE),British Standards for Workshop Practice,"British Standards Institution , London",1953.0,,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 BAT
B22396,Barkhru (KH),The Complete hnad book of nature cuer,Jaico,1991.0,8172242298,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035) BAK
B9854,Grafstein Paul,Pictorial Handbook of Technical Devices,"Arco Publishing Company,INC.New York",1978.0,0668044942,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 GRA
B7221,Leslie (W H P),"Numerical Control users'""handbook",McGraw-hill London,1970.0,,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)62 LES
B17351,Douglas(MR),How to win with high self-esteem,UBS Publishers Distributors Ltd.,1994.0,,TLC-R-1-S-8,HANDBOOK MECHANICAL,001 DOU
B22063,Theraja(B.L),A textbook of Electrical Technology,"s.Chand & Company pvt.ltd,New delhi",2008.0,9788121924375,TLC-R-1-S-8,HANDBOOK MECHANICAL,621.3 THE
B14966,Rothbart (HA),Mechanical Design and System Handbook (2nd Edition),McGraw-Hill book company Newyork,1986.0,0071002723,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 ROT
B22366,Nee (A Y.C),"Handbook of Manufacturing Engineering and Technology , Volume1","Springer Reference, london",2015.0,9781447146698,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 NEE
B22367,Nee (A Y.C),"Handbook of Manufacturing Engineering and Technology , Volume2","Springer Reference, london",2015.0,9781447146698,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 NEE
B22368,Nee (A Y.C),"Handbook of Manufacturing Engineering and Technology , Volume3","Springer Reference, london",2015.0,9781447146698,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 NEE
B22369,Nee (A Y.C),"Handbook of Manufacturing Engineering and Technology , Volume4","Springer Reference, london",2015.0,9781447146698,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 NEE
B22370,Nee (A Y.C),"Handbook of Manufacturing Engineering and Technology , Volume5","Springer Reference, london",2015.0,9781447146698,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 NEE
B22371,Nee (A Y.C),"Handbook of Manufacturing Engineering and Technology , Volume6","Springer Reference, london",2015.0,9781447146698,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 NEE
B22355,Vachtsevanos (G J),"Handbook of Unmanned aerial Vehicles, Volume 1","Springer Reference, london",2015.0,9789048197064,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 VAC
B22356,Vachtsevanos (G J),"Handbook of Unmanned aerial Vehicles, Volume 2","Springer Reference, london",2015.0,9789048197064,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 VAC
B22357,Vachtsevanos (G J),"Handbook of Unmanned aerial Vehicles, Volume 3","Springer Reference, london",2015.0,9789048197064,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 VAC
B22358,Vachtsevanos (G J),"Handbook of Unmanned aerial Vehicles, Volume 4","Springer Reference, london",2015.0,9789048197064,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 VAC
B22359,Vachtsevanos (G J),"Handbook of Unmanned aerial Vehicles, Volume 5","Springer Reference, london",2015.0,9789048197064,TLC-R-1-S-8,HANDBOOK MECHANICAL,(035)621 VAC
